KIND;OPR;STAT;AREA;CITY ;CB  ;LAC; CID ; GSM ; DCS;3G L; 3G C;  3G S   ;U-L; U900 ;U-S ;  DATE  ; ADDR                ; REM                               ;  OZIN     ;  OZIE  ;LOCK

/;Гродно

$;4;R  ;GRO; Зельва             ;v;;;;; 232 ; 402860 ;:51:52:53;;      ;        ;01.02.20 ; пер.Больничный, 5     ; ЦРБ, мачта МТС                                       ; 53.148308; 24.824616;G
$;4;D  ;GRO; Лида                ;;;;;; 231 ; 402861 ; 123;     ;      ;        ;24.02.17 ; Фурманова, 17а      ; ОАО "Лида-Агротехсервис", мачта МТС, дем. осенью 2018г.; 53.869417; 25.293180;G
$;4;R  ;GRO; Лида                ;;;;;; 237 ; 402862 ; 123; 237 ;402862;56789:10;24.02.17 ; Кирова, 19            ; поликлиника, мачта МТС                               ; 53.893089; 25.294921;G
$;4;R  ;GRO; Лида               ;v;;;;; 237 ; 402862 ;:51:52:53;;      ;        ;11.01.20 ; Кирова, 19            ; поликлиника, мачта МТС                               ; 53.893089; 25.294921;G
$;4;R  ;GRO; Лида                ;;;;;; 237 ; 402863 ; 123; 237 ;402863;56789:10;24.02.17 ; Мицкевича, 38/3       ; общежитие, триподы МТС                               ; 53.898485; 25.313069;G
$;4;R  ;GRO; Лида               ;v;;;;; 237 ; 402863 ;:51:52:53;;      ;        ;11.01.20 ; Мицкевича, 38/3       ; общежитие, триподы МТС                               ; 53.898485; 25.313069;G
$;4;R  ;GRO; Островец            ;;;;;; 235 ; 402871 ; 123; 235 ;402871;56789:10;24.05.18 ; К.Маркса, 1           ; дом быта, мачта МТС                                  ; 54.616537; 25.959370;G 
$;4;R  ;GRO; Островец           ;v;;;;; 235 ; 402871 ;:51:52:53;;      ;        ;24.01.20 ; К.Маркса, 1           ; дом быта, мачта МТС                                  ; 54.616537; 25.959370;G 
$;4;R  ;GRO; Волковыск           ;;;;;; 232 ; 402872 ; 12 ; 232 ;402872;56789:10;08.05.18 ; Ленина, 15            ; башня РЭС                                            ; 53.161437; 24.460389;G 
$;4;R  ;GRO; Волковыск          ;v;;;;; 232 ; 402872 ;:51:52   ;;      ;        ;01.02.20 ; Ленина, 15            ; башня РЭС                                            ; 53.161437; 24.460389;G 
$;4;R  ;GRO; Волковыск           ;;;;;; 232 ; 402873 ; 123;     ;      ;        ;08.05.18 ; Красноармейская, 23   ; ОАО "ВолМет", мачта МТС                              ; 53.155874; 24.433212;G 
$;4;R  ;GRO; Волковыск          ;v;;;;; 232 ; 402873 ;:51:52:53;;      ;        ;01.02.20 ; Красноармейская, 23   ; ОАО "ВолМет", мачта МТС                              ; 53.155874; 24.433212;G 
$;4;R  ;GRO; Сморгонь            ;;;;;; 235 ; 402877 ; 123; 235 ;402877;56789:10;08.08.18 ; Индустриальный пр-т, 7; хлебозавод, мачта МТС                                ; 54.509210; 26.367890;G
$;4;R  ;GRO; Сморгонь           ;v;;;;; 235 ; 402877 ;:51:52:53;;      ;        ;28.08.21 ; Индустриальный пр-т, 7; хлебозавод, мачта МТС                                ; 54.509210; 26.367890;G
$;4;R  ;GRO; Ратичи                  ;; 238 ; 404060 ;:21:22:23;;;;  ;;;        ;06.11.23 ; Гродненский р-н       ; Новая 3, магазин, мачта                              ; 53.770197; 23.658069;G
$;4;R  ;GRO; Новогрудок          ;;;;;; 236 ; 404826 ; 123;     ;      ;        ;21.09.18 ; Мицкевича, 49         ; МПМК-157, опорная мачта МТС                          ; 53.586267; 25.812688;G
$;4;R  ;GRO; Новогрудок         ;v;;;;; 236 ; 404826 ;:51:52:53;;      ;        ;10.01.20 ; Мицкевича, 49         ; МПМК-157, опорная мачта МТС                          ; 53.586267; 25.812688;G
