KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ; CID  ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ; DATE    ; ADDR                  ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK
$;M;R  ;MIO; Паперня             ; PAPERNIA     ;201;  383 ;1237; 568; 201 ; 1948 ;123456789;201; 6423 ;5 78;06.07.08; Менскі р-н            ; Р58, вежа 70м                                            ; 54.029393; 27.567296;G
$;M;R  ;MIO; Паперня             ;              ;   ;  383 ;    ;    ; 201 ; 1950 ;1  4  7  ;201; 1145 ;8   ;19.03.16; Менскі р-н            ; Р58, вежа 70м                                            ; 54.029393; 27.567296;G
$;M;R  ;MIO; Паперня             ;              ;   ;  383 ;    ;    ; 201 ; 2679 ;1 3      ;   ;      ;    ;04.03.20; Менскі р-н            ; Р58, вежа 70м                                            ; 54.029393; 27.567296;G
$;M;R  ;MIO; Паперня             ;              ;   ;  383 ;    ;    ; 201 ; 1927 ;   3     ;   ;      ;    ;04.03.20; Менскі р-н            ; Р58, вежа 70м                                            ; 54.029393; 27.567296;G
$;M;R  ;MIO; Паперня             ;              ;   ;  383 ;    ;    ; 201 ; 4671 ;3456     ;   ;      ;    ;16.06.22; Менскі р-н            ; Р58, вежа 70м                                            ; 54.029393; 27.567296;G
$;M;R  ;MIO; Мацкі               ; MATSKI       ;203;  384 ;123 ;456 ; 203 ; 1958 ; 2  5    ;203; 1145 ;9   ;17.04.09; Менскі р-н            ; Р58, вежа 70м (A1 345)                                   ; 54.127071; 27.531135;G
$;M;R  ;MIO; Мацкі               ;              ;   ;  384 ;    ;    ;     ;      ;         ;203; 1165 ;0   ;26.01.20; Менскі р-н            ; Р58, вежа 70м (A1 345)                                   ; 54.127071; 27.531135;G
$;M;R  ;MIO; Шапялі              ; SHEPELI      ;203;  385 ;123 ;    ;     ;      ;         ;203; 1165 ;2   ;06.07.08; Менскі р-н            ; Р58, вежа 70м (А1 122)                                   ; 54.167130; 27.501330;G
$;M;R  ;MIO; Дашкі               ; DASHKI       ;172;  386 ;1237;    ;     ;      ;         ;   ;      ;    ;06.07.08; Лагойскі р-н          ; Р58, вежа 70м                                            ; 54.245850; 27.480500;G
$;M;R  ;MIO; Лукавец             ; LUKAVETS     ;172;  387 ;1237;    ;     ;      ;         ;   ;      ;    ;06.07.08; Вілейскі р-н          ; Р58, вежа 70м                                            ; 54.325690; 27.452010;G
$;M;R  ;MIO; Залессе             ; ZALES'E      ;172;  388 ;1237;    ;     ;      ;         ;   ;      ;    ;06.07.08; Вілейскі р-н          ; P58, вежа 70м                                            ; 54.386970; 27.348440;G
$;M;R  ;MIO; Кавалі              ; KOVALI       ;202;  389 ;123 ;    ;     ;      ;         ;   ;      ;    ;06.07.08; Вілейскі р-н          ; Р58, супольная вежа 70м                                  ; 54.472220; 27.265600;G
