KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ;  CID ;GSM ;DCS ; 3G L; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                ; REM                                           ; OZIN     ; OZIE     ;LOCK
$;M;R  ;BR.; Брест               ; BREST        ;224 ; 5112 ;123 ;456 ; 224 ; 5344 ;12 456789;224; 4089 ;9   ;26.08.10 ; Вишневая 28А        ; ЦТП, мачта                                    ; 52.095540; 23.717564;G
$;M;R  ;BR.; Брест               ;              ;    ; 5112 ;    ;    ; 224 ; 5346 ;12  5 78 ;224; 4111 ;02  ;21.08.16 ; Вишневая 28А        ; ЦТП, мачта                                    ; 52.095540; 23.717564;G
$;M;R  ;BR.; Брест               ;              ;    ; 5112 ;    ;    ; 224 ; 2165 ; 6       ;   ;      ;    ;21.08.16 ; Вишневая 28А        ; ЦТП, мачта                                    ; 52.095540; 23.717564;G
$;M;R  ;BR.; Брест               ; BREST        ;224 ; 5116 ;123 ;456 ; 224 ; 5347 ;123456789;224; 4111 ;35  ;21.02.09 ; Московская 323/1    ; мкр-н Восток-6, насосная станция ПНС N4, мачта; 52.101890; 23.785765;G
$;M;R  ;BR.; Брест               ;              ;    ; 5116 ;    ;    ; 224 ; 1280 ;1     7  ;   ;      ;    ;21.02.09 ; Московская 323/1    ; мкр-н Восток-6, насосная станция ПНС N4, мачта; 52.101890; 23.785765;G
$;M;R  ;BR.; Брест               ;              ;    ; 5116 ;    ;    ; 224 ; 2196 ;4        ;   ;      ;    ;21.02.09 ; Московская 323/1    ; мкр-н Восток-6, насосная станция ПНС N4, мачта; 52.101890; 23.785765;G
$;M;R  ;BR.; Брест               ; BREST        ;224 ; 5117 ;123 ;456 ; 224 ; 5352 ;123456789;224; 4111 ;89  ;28.12.08 ; Гоздецкого 20       ; филиал СУ-116, мачта                          ; 52.120379; 23.782739;G
$;M;R  ;BR.; Брест               ;              ;    ; 5117 ;    ;    ; 224 ; 5357 ;12 45 78 ;224; 4132 ;0   ;03.09.15 ; Гоздецкого 20       ; филиал СУ-116, мачта                          ; 52.120379; 23.782739;G
$;M;R  ;BR.; Брест               ;              ;    ; 5117 ;    ;    ; 224 ; 2180 ;1 345    ;   ;      ;    ;03.09.15 ; Гоздецкого 20       ; филиал СУ-116, мачта                          ; 52.120379; 23.782739;G
$;M;R  ;BR.; Брест               ; BREST        ;224 ; 5118 ;1 3 ;456 ; 224 ; 5358 ;1 34 67 9;224; 4172 ;0 8 ;28.12.08 ; Янки Купалы 5   ; РУП "Брестская фабрика сувениров "Славянка", мачта; 52.103195; 23.739622;G
