KIND;OPR;STAT;AREA;CITY          ; CB          ; LAC ; CID ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                  ; REM                                                  ;  OZIN     ;  OZIE  ;LOCK
$;V;R  ;MIO; Жодзіна             ; ZHODINO     ; 113 ; 151 ;123 ;    ; 113 ; 3549 ;123456789;113; 5151 ;123 ;27.02.07; Калініна             ; БелАЗ, мачта                                         ; 54.104928; 28.341016;G
$;V;R  ;MIO; Жодзіна             ;             ;     ; 151 ;    ;    ; 113 ; 4549 ;123      ;   ;      ;    ;08.07.19; Калініна             ; БелАЗ, мачта                                         ; 54.104928; 28.341016;G
$;V;R  ;MIO; Лагойск             ; LOGOJSK     ; 116 ; 152 ;123 ; 5  ; 116 ; 3615 ;1 34  7  ;116; 5152 ;12  ;10.06.06; Лагойскі р-н         ; ГК "Лагойск", воданапорная вежа, трыпод              ; 54.183332; 27.804846;G
$;V;R  ;MIO; Лагойск             ;             ;     ; 152 ;    ;    ; 116 ; 4615 ;1        ;116; 5152 ;4   ;31.10.20; Лагойскі р-н         ; ГК "Лагойск", воданапорная вежа, трыпод              ; 54.183332; 27.804846;G
$;V;RGM;MIO; Старыя Навасёлкі    ; ST.NOVOSELKI; 111 ; 153 ;12  ;45  ; 111 ; 3077 ;12 45  8 ;111; 5153 ;12  ;03.09.06; Нясвіжскі р-н        ; воданапорная вежа, трыпод                            ; 53.286365; 26.672688;G
$;V;RGM;MIO; Старыя Навасёлкі    ;             ;     ; 153 ;    ;    ; 111 ; 4077 ; 2       ;   ;      ;    ;31.07.21; Нясвіжскі р-н        ; воданапорная вежа, трыпод                            ; 53.286365; 26.672688;G
$;V;R  ;MIO; Бобр                ; BOBR        ; 113 ; 154 ;123 ;    ; 113 ; 3798 ;123456   ;   ;      ;    ;27.02.06; Крупскі р-н          ; Кірмашовая 4, рада дэпутатаў, мачта                  ; 54.341216; 29.275157;G
$;V;R  ;MIO; Барысаў             ; BORISOV     ; 113 ; 155 ;123 ;    ; 113 ; 3507 ;123456789;113; 5155 ;123 ;23.06.15; Зялёны зав. 13       ; МРЭО ДАІ, мачта                                      ; 54.224815; 28.489324;G
$;V;R  ;MIO; Барысаў             ; BORISOV     ; 113 ; 156 ;123 ;    ; 113 ; 3733 ;123456789;113; 5156 ;123 ;23.06.15; Чапаева 78           ; ГАП №1, мачта                                        ; 54.199838; 28.494340;G
$;V;R  ;MIO; Аколіца             ;             ; 116 ; 157 ;    ;    ; 116 ; 3127 ;123456789;116; 5157 ;1234;27.09.15; Менскі р-н           ; Сонечная 1А, крама, слуп                             ; 54.057222; 27.750746;G
$;V;R  ;MIO; Аколіца             ;             ;     ; 157 ;    ;    ; 116 ; 4127 ;123      ;116; 5157 ;5   ;06.03.20; Менскі р-н           ; Сонечная 1А, крама, слуп                             ; 54.057222; 27.750746;G
$;V;R  ;MIO; Даманавічы          ; DOMANOVICHI ; 117 ; 157 ;12  ;    ; 117 ; 3973 ; 2  5    ;117; 5838 ; 2  ;05.04.09; Салігорскі р-н       ; вежа 70м                                             ; 52.521859; 27.763763;G
